'beta_mu', 'algorithm', 'terminate', 'init_point', 'optimal_soultion', 'ans', 'violation'
(0.1, 1.5)	Powell	50	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, 0.0, 0.3862, 0.0737, 0.27, 0.0245, 0.0004, 0.1453)	0.1055	0
(0.1, 1.5)	COBYLA	0.001	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.111, -0.0007, 0.3334, 0.0264, 0.2831, 0.0212, -0.0042, 0.2107)	0.0898	6
(0.1, 1.5)	COBYLA	1e-05	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1003, 0.0, 0.3731, 0.0674, 0.2898, 0.0102, 0.0002, 0.1587)	0.1029	2
(0.1, 1.5)	COBYLA	1e-08	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.0998, 0.0002, 0.3798, 0.078, 0.2837, 0.0102, 0.0024, 0.1459)	0.1053	0
(0.1, 1.5)	COBYLA	10	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1164, -0.0009, 0.3217, 0.0178, 0.2819, 0.0245, -0.0068, 0.2172)	0.0861	6
(0.1, 1.5)	COBYLA	25	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.0998, -0.0001, 0.3772, 0.0729, 0.2852, 0.0106, 0.0012, 0.1532)	0.1042	3
(0.1, 1.5)	COBYLA	50	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.0957, 0.0025, 0.3818, 0.0801, 0.2821, 0.0119, 0.001, 0.1447)	0.1058	0
(0.1, 1.5)	COBYLA	0.001	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1111, -0.0007, 0.332, 0.0278, 0.2871, 0.0174, -0.0042, 0.2109)	0.0898	6
(0.1, 1.5)	COBYLA	1e-05	(10, 0, 10, 0, 10, 0, 10, 0)	(0.0919, 0.0, 0.3753, 0.0677, 0.2967, 0.0031, 0.002, 0.1635)	0.1037	2
(0.1, 1.5)	COBYLA	1e-08	(10, 0, 10, 0, 10, 0, 10, 0)	(0.0835, 0.0028, 0.3889, 0.0733, 0.2964, 0.0016, 0.0001, 0.1534)	0.1062	0
(0.1, 1.5)	COBYLA	10	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1163, -0.0008, 0.3195, 0.0199, 0.2852, 0.0211, -0.0067, 0.2172)	0.0861	6
(0.1, 1.5)	COBYLA	25	(10, 0, 10, 0, 10, 0, 10, 0)	(0.0878, -0.0001, 0.3812, 0.0707, 0.2967, 0.003, 0.0011, 0.1598)	0.105	3
(0.1, 1.5)	COBYLA	50	(10, 0, 10, 0, 10, 0, 10, 0)	(0.0785, 0.0019, 0.3908, 0.0732, 0.297, 0.0022, 0.0005, 0.156)	0.1068	1
(0.1, 1.5)	COBYLA	0.001	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1115, -0.0008, 0.3321, 0.0267, 0.2842, 0.0203, -0.0044, 0.2114)	0.0897	6
(0.1, 1.5)	COBYLA	1e-05	(0, 0, 0, 2, 2, 2, 1, 1)	(0.0952, 0.0011, 0.3743, 0.0696, 0.299, 0.0001, -0.0001, 0.1604)	0.1034	2
(0.1, 1.5)	COBYLA	1e-08	(0, 0, 0, 2, 2, 2, 1, 1)	(0.0852, 0.0003, 0.3839, 0.083, 0.2879, 0.0008, 0.0009, 0.158)	0.1066	0
(0.1, 1.5)	COBYLA	10	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1165, -0.001, 0.3212, 0.0182, 0.2814, 0.025, -0.0068, 0.2174)	0.0861	6
(0.1, 1.5)	COBYLA	25	(0, 0, 0, 2, 2, 2, 1, 1)	(0.0916, 0.0004, 0.3803, 0.0764, 0.2935, 0.0003, 0.0001, 0.1576)	0.1052	2
(0.1, 1.5)	COBYLA	50	(0, 0, 0, 2, 2, 2, 1, 1)	(0.0569, 0.0007, 0.3938, 0.0871, 0.2871, 0.0023, 0.0033, 0.1692)	0.1098	1
(0.1, 2)	BFGS	0.001	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1098, -0.0007, 0.3387, 0.0254, 0.3044, -0.0005, -0.0037, 0.2096)	0.0905	7
(0.1, 2)	BFGS	1e-05	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1002, -0.0001, 0.3744, 0.0649, 0.3001, -0.0, 0.0128, 0.1472)	0.1037	4
(0.1, 2)	BFGS	1e-08	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, -0.0, 0.377, 0.0689, 0.3, -0.0, 0.0151, 0.139)	0.1048	1
(0.1, 2)	BFGS	10	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.101, -0.0002, 0.3668, 0.0531, 0.3004, -0.0001, 0.0059, 0.1714)	0.1003	5
(0.1, 2)	BFGS	25	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, -0.0, 0.377, 0.0689, 0.3, -0.0, 0.0154, 0.1386)	0.1048	0
(0.1, 2)	BFGS	50	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, -0.0, 0.377, 0.0689, 0.3, 0.0, 0.0155, 0.1386)	0.1048	0
(0.1, 2)	BFGS	0.001	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1098, -0.0007, 0.3387, 0.0254, 0.3044, -0.0005, -0.0037, 0.2096)	0.0905	7
(0.1, 2)	BFGS	1e-05	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1002, -0.0001, 0.3744, 0.0649, 0.3001, -0.0, 0.0128, 0.1472)	0.1037	4
(0.1, 2)	BFGS	1e-08	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, -0.0, 0.377, 0.0689, 0.3, -0.0, 0.0151, 0.139)	0.1048	1
(0.1, 2)	BFGS	10	(10, 0, 10, 0, 10, 0, 10, 0)	(0.101, -0.0002, 0.3668, 0.0531, 0.3004, -0.0001, 0.0059, 0.1714)	0.1003	5
(0.1, 2)	BFGS	25	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, -0.0, 0.377, 0.0689, 0.3, -0.0, 0.0154, 0.1386)	0.1048	0
(0.1, 2)	BFGS	50	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, 0.0, 0.377, 0.0689, 0.3, 0.0, 0.0155, 0.1386)	0.1048	0
